,hbPhotoExist,originBookCode,author,isbn,publishDate,discountPrice,bookDiscount,bookName,executiveEditor,bookId,picPath,price,stockInDate,sumVolume,shopType
279,N,1499833,陈德人,978-7-115-49983-7,202106,39.84,0.8,网络营销与策划：理论、案例与实训（微课版）,孙燕燕,0eaa5ada-319f-4b15-bd73-e222b2429df0,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-49983-7/72jpg/49983_s300.jpg,49.8,20190905,20349,1
280,N,141062,李勇,978-7-115-41062-7,202105,36.00,0.8,互联网+酒店 传统酒店的战略转型 营销变革与管理重构,赵娟,55349617-23cf-4411-88f9-67ee9949648d,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41062-7/72jpg/41062_s300.jpg,45,20160126,20338,1
281,Y,131242,薛显东 编著,978-7-115-31242-6,201909,31.20,0.8,从零开始学做文秘工作,代新梅,19ca00bc-0708-4b69-89f1-2e920455cc82,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-31242-6/72jpg/31242_s300.jpg,39,20130410,20310,1
282,N,152287,蒋巍巍,978-7-115-52287-0,202108,47.20,0.8,向上管理的艺术 升级版 如何正确汇报工作,单元花,156b384f-a86b-4632-8595-bb2038255d97,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-52287-0/72jpg/52287_s300.jpg,59,20200113,20302,1
283,Y,141353,[英]卡洛斯·梅纳 罗姆科·范·霍克 马丁·克里斯托弗,978-7-115-41353-6,202103,54.40,0.8,战略采购和供应链管理：实践者的管理笔记,李士振,0f2a725e-2eb0-47a2-8318-b0eb5113a8bb,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-41353-6/72jpg/41353_s300.jpg,68,20160218,20255,1
284,N,155079,徐骏骅 陈郁青 宋文正,978-7-115-55079-8,202108,39.84,0.8,直播营销与运营（微课版）,楼雪樵,6eb65bd4-d46a-4c45-9c42-b2c6cb35b7f8,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-55079-8/72jpg/55079_s300.jpg,49.8,20201211,20163,1
285,N,134283,刘瑞武 章壮洪 主编,978-7-115-34283-6,202107,25.60,0.8,会计信息系统,武恩玉,d5d9ac78-2e6b-41b0-a546-262bac876e75,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-34283-6/72jpg/34283_s300.jpg,32,20140218,20138,1
286,N,1524032,杭俊 王晓亮,978-7-115-52403-4,202109,47.84,0.8,Photoshop网店美工实例教程（第2版 全彩微课版）,侯潇雨,19829bc6-896a-4089-ae6b-19b65cbabde3,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-52403-4/72jpg/52403_s300.jpg,59.8,20210114,20073,1
287,Y,150105,孙宗虎，王瑞永,978-7-115-50105-9,202109,47.20,0.8,人力资源 行政 后勤管理流程与规范化执行,贾淑艳,11637de8-2cb6-478f-a770-f08eea22ae85,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-50105-9/72jpg/50105_s300.jpg,59,20181220,20036,1
288,N,136091,王玉苓 徐春晖 编著,978-7-115-36091-5,201802,26.40,0.8,商务礼仪,万国清,d1b7481f-43c6-4304-aaab-ea3625027b40,https://cdn.ptpress.cn/uploadimg/Material/978-7-115-36091-5/72jpg/36091_s300.jpg,33,20141027,19979,1
